feature,importance
cv11d165,0.0014393449964700267
cs19l268,0.0014353183969433303
cs20m557,0.0014332737046061084
cr20m134,0.0014314251084215357
nettoink_2019,0.0014266326616052538
cr20m042,0.0014247795870687696
cp20l042,0.0014229364169295877
cw20m045,0.001419449067725509
brutoink_f_2015,0.001418396638428021
cp20l036,0.0014044948926112966
cf18k128,0.0014014492662681732
brutoink_f_2019,0.0013897462720251497
cw20m003,0.001368155319141806
ch18k249,0.0013618831603707804
cp17i160,0.001361809824629745
cs20m001,0.0013595967884612037
cv20l114,0.0013515786495190696
burgstat_2020,0.0013487435189745156
ci11d005,0.0013478638284141198
cd17j014,0.001343881020147819
cv20l024,0.0013423554592009168
cp20l019,0.0013209213620939408
cv17i258,0.001304427787545137
cp11d111,0.001300315445405431
cs19l337,0.0012870433920397772
cp17i149,0.0012783899655914865
cd19l014,0.0012671410036091402
cs20m199,0.0012617628499356215
cs20m288,0.001259729626326589
cw17j052,0.0012566255281853955
cr18k093,0.0012525558486231603
ca20g001,0.0012432175390131306
cf18k130,0.001235906480360427
cv19k148,0.0012353985075606033
cr20m081,0.0012292873580008745
cw20m611,0.0012258954095614172
cv20l303,0.0012227405533167257
cs20m495,0.001215418769788812
cw19l576,0.001214930675814685
cs09b253,0.0012092420365661383
netinc_2015,0.0012080026908733998
cd20m033,0.0012073941452399595
cp20l039,0.0011934105878026458
cr16i038,0.0011906902946066111
cs10c252,0.001183972563012503
ch16i206,0.0011654013324005064
cv18j160,0.0011628531119640684
cp20l037,0.0011545427798864694
cd20m010,0.0011396734007576015
cp19k076,0.001136835944635095
cf20m031,0.0011366668609298358
cs20m102,0.0011243553719850752
cf20m457,0.001123559103689331
cv20l279,0.0011213056868655258
cf20m163,0.0011205703576706583
ci11d002,0.0011194679391337559
brutoink_f_2017,0.0011143645288029802
ci18k020,0.0011135450149595272
cv20l129,0.001112826525059063
cv18j101,0.001107973938815121
ch20m219,0.0011044051507269614
cs20m581,0.001094709184144449
cp20l072,0.0010903055186872734
brutoink_f_2016,0.0010872108748571918
ci11d326,0.0010834375643753447
cr18k117,0.0010808175879901682
cw20m504,0.0010746374064183328
cv20l015,0.0010629480279931158
cs19l227,0.0010567652498139068
belbezig_2020,0.0010492672145119286
cf14g004,0.001048092150085722
oplcat_2014,0.0010467162010172615
ch20m130,0.0010455503074808803
cs20m425,0.0010416908096431143
oplzon_2014,0.0010373591194365872
cv20l230,0.0010328735126563515
cr20m083,0.0010315679173800163
cf19l394,0.0010305899018021591
ci20m337,0.0010296474551978463
cs16i231,0.0010287596596754156
ch19l107,0.001023778910166584
cf19l456,0.0010193446250923444
cv18j247,0.0010109172435477376
cs20m485,0.0010099261344294064
nettoink_2020,0.0009978705415960576
cp20l103,0.0009938463608705206
cr20m117,0.0009932530907690307
cs17j386,0.000990328895568382
cv20l115,0.0009844749656622298
cd20m028,0.0009828477259361534
cv18j041,0.0009705368383947643
cp20l047,0.0009646306425565854
cw18k517,0.0009629016967664938
brutohh_f_2020,0.0009600944867997896
cp20l027,0.0009600928321384927
cp19k016,0.0009596032004992594
cv19k024,0.0009590122199369944
cf17j143,0.000956314792347257
cf20m002,0.0009532524795758945
ch20m256,0.0009523784869998053
cv20l123,0.000952198752656841
ci17j006,0.000947362364968285
cd20m079,0.0009447283241570403
ch20m165,0.0009424391773791285
cp17i165,0.0009332993495263509
cr18k133,0.0009328453161288053
cw20m002,0.0009262451915219572
ch20m002,0.0009234287435901933
cv20l289,0.0009061263035619049
cr20m179,0.0009047170451594866
ca20g082,0.0009042201570537145
cf20m004,0.0008918823659769259
cd20m008,0.0008877249802026199
cv20l032,0.0008839028096190304
cr18k120,0.0008804722101558582
cv20l029,0.0008797878454060992
cs20m378,0.0008726474789000349
cs10c280,0.0008702088525751606
cv11d130,0.0008685154848535603
cv19k267,0.0008663232333674387
nettohh_f_2020,0.0008659285804242245
cp17i018,0.0008650443278384046
cv19k301,0.0008633478623778501
cf16i395,0.0008623557764622092
cf17j004,0.0008610463544300728
ch19l002,0.0008586512931287871
cp20l076,0.0008537007906852523
cd20m038,0.000851178272114339
cw19l502,0.0008272647746707662
cw16i150,0.0008244477794505656
cs20m098,0.0008229119009683927
ci20m236,0.0008224507140539572
cp17i163,0.0008220663530664751
brutoink_f_2014,0.0008220519805490767
cv20l027,0.0008174132794920297
ca20g007,0.0008166397601598874
cp20l048,0.0008161105383805989
netinc_2020,0.0008159376329786028
cs20m206,0.0008131850936479168
cd20m083,0.0008119631511362968
belbezig_2014,0.0008112001614790643
cp18j186,0.0008102670344669605
cp19k019,0.0008074493271124084
cp19k059,0.0008042553308769129
cs20m003,0.0008034546135604614
cp14g148,0.0008027709941416106
ch20m014,0.0008024571584428486
cs20m487,0.000798657807536074
cp20l028,0.0007986378450368647
ci20m320,0.0007982147931215877
cr20m094,0.0007979506765423139
cw17j405,0.0007962298946040391
ci20m321,0.0007944980011416192
cp20l055,0.0007944625267555239
cv16h227,0.0007934601599117741
cv20l291,0.0007918406286080426
cp17i147,0.0007900560030975612
brutoink_f_2020,0.0007891781124271802
cs17j327,0.0007867730614634638
cp14g046,0.0007852482331145438
woonvorm_2015,0.0007847536799090449
ch18k130,0.0007826336932339473
cd17j024,0.0007756349183409839
cw11d003,0.0007734215832897462
cr20m119,0.000772992283827989
cw18k382,0.0007648844111827202
cp20l189,0.0007644259967491962
ci20m339,0.0007563620190467191
cv18j108,0.0007561313919950408
cw18k498,0.0007557314456789754
cs20m597,0.0007542294229097024
cf18k147,0.0007536477777989603
cs20m286,0.0007489637318940368
cp18j015,0.0007486966992473754
cs20m480,0.000748503121030808
cp19k053,0.0007454206088368664
ca20g085,0.0007411644037347287
cf15h029,0.0007403075273941795
