feature,importance
cp17i088,0.0014261588221415877
cv19k148,0.0014116491365712136
cs19l334,0.00139827118255198
cf19l020,0.001391999816405587
cf20m397,0.0013885789999221743
cw16i150,0.001362894312478602
cv20l024,0.0013422504780464806
cs18k485,0.0013342891907086596
cf20m526,0.0013301877852427424
cv20l279,0.0013277290418045595
belbezig_2018,0.0013146318378858268
cr20m178,0.001300726462432067
cf18k031,0.0012970404422958381
brutoink_f_2019,0.001275769658604986
cp17i160,0.0012730344606097788
cv11d130,0.0012536693247966468
cw20m504,0.0012523543628049083
cp17i147,0.001249762783118058
cs20m557,0.0012455466494429857
cv19k160,0.0012342837399046402
cs20m329,0.0012204331578686833
cw19l600,0.001218267745571211
brutoink_f_2013,0.0012104523448215332
ch20m014,0.0012038652475894196
cd17j024,0.0011962058779317886
cr17j041,0.0011912436311831698
cp19k076,0.001187639561976539
burgstat_2020,0.0011861161547130905
cr20m135,0.0011839289045383339
cf20m012,0.0011835169279947877
cs19l269,0.001177878541056998
cs20m102,0.0011692494099406758
cv20l117,0.0011637737652563374
cd18k014,0.0011550556955626234
ch17j173,0.001154585334006697
cr18k119,0.00114674069936882
cf18k029,0.0011464440781310259
cf17j004,0.001142234187966551
cs20m169,0.001141705355621525
cp09b117,0.0011394262546673417
ca20g001,0.001136071474320488
cv20l302,0.001121497187341447
ch20m130,0.0011209172826056601
cp20l037,0.0011145271419081837
cv20l303,0.0011130234072425083
cp20l073,0.001089612276700791
cp10c193,0.001087998243747279
cs18k187,0.0010803809273056686
cf18k004,0.0010778182768262923
cw20m611,0.00107697517159977
cv20l153,0.0010754176710179308
ch20m099,0.0010669831435734523
ch20m219,0.0010644185495038982
cp20l047,0.001062035908944381
cf19l251,0.0010620131633913843
brutoink_f_2017,0.001059878572505113
cd20m028,0.0010536471563682426
cs17j125,0.0010526215191930532
ch20m208,0.001050697478603979
cs20m007,0.001038799211528385
ci19l322,0.001035840639218577
cf18k130,0.0010328198077331763
cp19k019,0.0010319090142729692
cf20m390,0.0010248179642076138
cd18k082,0.0010190526518272236
cw20m008,0.0010186150539084338
cv18j247,0.0010167500447550992
cw19l576,0.0010162313840282877
ci20m226,0.0010124029104190413
cp17i070,0.0009968479280360043
ci20m203,0.000991238463029731
cs20m376,0.0009827400285757903
cp20l190,0.0009825602355704177
cd20m019,0.0009809254843275994
cs20m485,0.0009716905442473944
cp13f025,0.000971565463260049
cf17j251,0.0009709962505439762
ci19l002,0.000962791164056398
ci20m380,0.0009611708555894438
cs18k351,0.0009601505043974612
cs20m288,0.0009587023923813831
cs19l337,0.0009585503012203844
ci12e010,0.0009554616626701318
nettoink_2019,0.0009550648437652853
ci20m236,0.0009506500518909888
cv19k231,0.0009492820429386484
cs20m592,0.000947941021877341
cs20m006,0.0009453599632252008
cs20m229,0.0009421144799830472
cs20m436,0.0009314729359175544
cp14g205,0.0009302016551373526
cw20m576,0.0009262748280889355
cw19l587,0.0009248043643310666
brutohh_f_2020,0.0009217250990332104
cf17j394,0.0009199854357575532
cv16h218,0.0009199466585414484
cr20m179,0.0009183455258607864
cw20m603,0.0009170874473056756
cf20m031,0.000911002762222779
cv20l102,0.0009108520171139389
cf20m518,0.0009088681908906437
cp20l104,0.0009078597586267279
cf20m204,0.0009052608729689382
cf20m389,0.0009026358698065451
ci16i144,0.0008992090006358922
cf16i395,0.0008981102146208286
cw20m310,0.000893586049642181
cv20l031,0.0008928320521590649
ci18k233,0.0008906742441467941
cs20m581,0.0008903206689865328
cf18k128,0.0008900041939341463
cr20m117,0.0008894049706213991
ch18k249,0.000888391827174928
cr20m162,0.0008875771536622779
ci20m316,0.0008866801854310324
netinc_2020,0.0008838812209432945
cf09b013,0.0008838543872116134
ci17j006,0.000878883816767484
ch17j012,0.0008734157133858389
nettohh_f_2020,0.000872217737196479
cf20m163,0.0008707189008418936
